"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"169","good","no running account",30,"hesistant","retraining",11300.8,">1400","<1 year","25-35","single","male","5-8 years","life insurance",23,"at other banks","rented","5- 6","skilled employee"
"170","good","no running account",18,"no problems with current credits","repair",11859.4,">1400","1-5 years","> 35","divorced/living apart/married","female","1-5 years","life insurance",21,"no further running credits","free","2- 4","skilled employee"
"171","bad","no balance",39,"paid back","furniture",6906.2,"no savings","5-8 years","25-35","single","male","1-5 years","no assets",23,"no further running credits","rented","2- 4","skilled employee"
"172","bad","no running account",24,"no problems with current credits","furniture",2322.6,"no savings","<1 year","< 15","divorced/living apart/married","female","1-5 years","life insurance",27,"no further running credits","free","one","unskilled with permanant residence"
"173","good","no balance",39,"no problems with current credits","repair",16464,"<140","5-8 years","25-35","single","male","5-8 years","ownership of house or land",30,"no further running credits","free","one","skilled employee"
"174","bad",">$300",48,"paid back","new car",16226,"<140","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",22,"no further running credits","free","2- 4","unskilled with permanant residence"
"175","good",">$300",15,"no previous credits","furniture",1698.2,"140-700","> 8 years","< 15","single","male","5-8 years","car",45,"at department store","rented","one","skilled employee"
"176","bad","no balance",21,"no previous credits","retraining",1663.2,"no savings","> 8 years","25-35","divorced/living apart/married","female",">8 years","car",37,"no further running credits","rented","one","skilled employee"
"177","bad","no running account",15,"no previous credits","other",5542.6,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","car",27,"no further running credits","rented","one","skilled employee"
"178","bad","no balance",9,"paid back","repair",1590.4,"700-1400","> 8 years","< 15","single","male","5-8 years","ownership of house or land",30,"no further running credits","owned","2- 4","skilled employee"
"179","good",">$300",10,"paid back","used car",3004.4,"no savings","<1 year","> 35","divorced/living apart/married","female","5-8 years","no assets",21,"no further running credits","free","2- 4","skilled employee"
"180","good","no running account",24,"no previous credits","used car",2445.8,"no savings","<1 year","< 15","single","male","< 1 year","car",22,"no further running credits","rented","one","unskilled with permanant residence"
"181","good",">$300",15,"no previous credits","other",4978.4,">1400","1-5 years","15- 25","single","male","1-5 years","ownership of house or land",27,"no further running credits","rented","one","skilled employee"
"182","bad","no running account",42,"no problems with current credits","furniture",6118,"no savings","5-8 years","15- 25","single","male","1-5 years","car",24,"at other banks","rented","2- 4","skilled employee"
"183","bad","no balance",15,"problematic running accounts","other",9590,"<140","unemployed","> 35","single","male","1-5 years","car",32,"at department store","rented","one","executive/self-employed"
"184","good",">$300",11,"paid back","other",1950.2,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","life insurance",33,"no further running credits","rented","2- 4","executive/self-employed"
"185","good","no running account",15,"no previous credits","other",3515.4,"no savings","unemployed","> 35","divorced/living apart/married","female",">8 years","life insurance",21,"no further running credits","free","one","skilled employee"
"186","bad","no balance",48,"hesistant","retraining",20189.4,"no savings","1-5 years","25-35","single","male","1-5 years","life insurance",23,"at department store","rented","one","skilled employee"
"187","bad","no running account",48,"paid back","new car",8600.2,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","ownership of house or land",56,"at department store","owned","2- 4","unskilled with permanant residence"
"188","bad","no balance",30,"no problems with current credits","furniture",2686.6,"<140","<1 year","< 15","single","male","5-8 years","ownership of house or land",28,"at department store","rented","2- 4","executive/self-employed"
"189","bad",">$300",12,"paid back","furniture",1115.8,">1400","> 8 years","< 15","divorced/living apart/married","female","5-8 years","car",31,"no further running credits","rented","one","unskilled with permanant residence"
"190","good","no running account",12,"no previous credits","furniture",1549.8,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",18,"no further running credits","free","one","executive/self-employed"
"191","bad","no running account",9,"no previous credits","furniture",1912.4,"no savings","<1 year","15- 25","divorced/living apart/married","female",">8 years","car",20,"no further running credits","free","one","skilled employee"
"192","good","<= $300",18,"problematic running accounts","furniture",2023,">1400","5-8 years","< 15","single","male",">8 years","life insurance",47,"at other banks","rented","one","unskilled with permanant residence"
"193","bad","no balance",48,"no problems with current credits","repair",8713.6,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",48,"no further running credits","owned","one","skilled employee"
"194","bad","no balance",24,"no previous credits","new car",16184,"no savings","1-5 years","> 35","divorced/living apart/married","female",">8 years","life insurance",21,"no further running credits","free","2- 4","executive/self-employed"
"195","good","no balance",13,"no previous credits","furniture",2941.4,"no savings","<1 year","25-35","divorced/living apart/married","female",">8 years","car",21,"no further running credits","rented","one","unskilled with permanant residence"
"196","good",">$300",21,"paid back","new car",4585,"no savings","> 8 years","> 35","single","male",">8 years","life insurance",34,"no further running credits","rented","one","executive/self-employed"
"197","good","no balance",8,"no previous credits","furniture",1979.6,"no savings","1-5 years","< 15","single","male","1-5 years","no assets",31,"no further running credits","rented","one","skilled employee"
"198","good","no balance",6,"no previous credits","furniture",826,"no savings","<1 year","15- 25","married/widowed","male","5-8 years","no assets",24,"no further running credits","rented","one","unskilled with permanant residence"
"199","good","no running account",12,"paid back","new car",1972.6,"no savings","> 8 years","< 15","single","male","5-8 years","no assets",52,"no further running credits","rented","one","skilled employee"
"200","good","no balance",12,"no previous credits","new car",2839.2,">1400","1-5 years","< 15","single","male","1-5 years","life insurance",28,"no further running credits","rented","one","skilled employee"
"201","good",">$300",12,"no previous credits","used car",2475.2,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",22,"no further running credits","free","one","unskilled with permanant residence"
"202","good","no running account",24,"no previous credits","business",2457,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","no assets",56,"no further running credits","rented","one","unskilled with permanant residence"
"203","bad","no balance",12,"no previous credits","other",1712.2,"no savings","> 8 years","> 35","divorced/living apart","male","< 1 year","no assets",44,"no further running credits","free","2- 4","skilled employee"
"204","bad","no running account",6,"no previous credits","other",20854.4,"no savings","> 8 years","> 35","single","male",">8 years","ownership of house or land",66,"at other banks","rented","one","executive/self-employed"
"205","good","no running account",24,"no previous credits","new car",9210.6,"no savings","unemployed","< 15","single","male","1-5 years","ownership of house or land",27,"no further running credits","owned","one","executive/self-employed"
"206","good","no balance",24,"no problems with current credits","retraining",9753.8,"<140","5-8 years","< 15","single","male",">8 years","life insurance",34,"no further running credits","free","one","executive/self-employed"
